_0596_,88.72µm
sw_in[17],88.65µm
net298,88.62µm
_2050_,88.57µm
se_in[16],88.5µm
west_in[18],88.5µm
net287,88.335µm
ne_in[4],87.94µm
_2153_,87.92µm
net761,87.785µm
core_inst.o_wb_dat\[26\],87.735µm
_0679_,87.64µm
net160,87.585µm
north_in[13],87.38µm
sw_in[1],87.38µm
_0070_,87.26µm
_1965_,87.23µm
_0625_,86.975µm
nw_in[9],86.87µm
south_in[19],86.82µm
se_out[18],86.82µm
_1958_,86.695µm
_1245_,86.57µm
nw_in[14],86.31µm
east_in[24],86.26µm
net322,86.24µm
net284,85.93µm
_0875_,85.55µm
_0692_,85.5µm
_0206_,85.45µm
_1308_,85.4µm
_2157_,85.4µm
_0931_,85.365µm
net254,84.85µm
_2351_,84.75µm
se_out[14],84.73µm
west_in[24],84.58µm
se_out[21],84.58µm
_1268_,84.56µm
core_inst.o_wb_dat\[20\],84.555µm
net111,84.52µm
_0570_,84.355µm
router_inst.inject_flit\[7\],84.315µm
_0557_,84.28µm
net239,84.2µm
net367,84.1µm
net128,83.905µm
net124,83.61µm
net173,83.285µm
west_in[1],82.9µm
west_in[21],82.9µm
net37,82.88µm
net201,82.47µm
ne_in[21],82.39µm
sw_in[15],82.39µm
ne_in[3],82.34µm
net338,81.96µm
net407,81.96µm
sram2048.q_bank1\[0\],81.91µm
_1902_,81.9µm
net227,81.86µm
ne_in[13],81.78µm
north_in[15],81.78µm
north_in[12],81.59µm
net216,81.53µm
se_in[17],81.27µm
net85,80.93µm
nw_in[13],80.71µm
net258,80.36µm
_0951_,80.23µm
_0114_,80.13µm
_0994_,80.13µm
net352,80.13µm
ne_in[15],80.1µm
west_in[10],80.1µm
_0566_,79.85µm
sram2048.bank_sel_q,79.72µm
south_out[10],79.64µm
south_out[32],79.59µm
_0053_,79.57µm
net815,79.1µm
net167,79.06µm
east_out[9],78.98µm
net418,78.5µm
north_in[14],78.47µm
router_inst.inject_flit\[1\],77.86µm
north_in[16],77.86µm
south_out[33],77.86µm
_1510_,77.83µm
south_out[6],77.39µm
south_in[9],77.35µm
west_in[12],77.35µm
net74,77.33µm
east_in[12],77.3µm
ne_in[17],77.3µm
west_in[17],77.3µm
_1225_,77.28µm
sram2048.cen_bank1,77µm
core_inst.servile.cpu.decode.opcode\[0\],76.87µm
se_out[29],76.84µm
router_inst.inject_flit\[18\],76.805µm
north_in[6],76.78µm
_0080_,76.77µm
